"GEOID" "mort_ac" "mort_ac_se" "mort_na" "mort_na_se" "hosp_cp" "hosp_cp_se" "hosp_cvd" "hosp_cvd_se" "hosp_res" "hosp_res_se" "ed_ast" "ac_bronchitis" "minor_lrs" "minor_wld" "minor_mrad" "minor_asts" "minor_sld" "minor_astc" "minor_ast" "minor_astw" "hosp_mi" "ed_ast_se" "hosp_mi_se" "minor_astc_se" "minor_asts_se" "minor_astw_se" "minor_ast_se" "minor_mrad_se" "minor_sld_se" "minor_wld_se" "minor_lrs_se" "ac_bronchitis_se"
80122 0.0000281668908116428 0.00906562659273495 0.0000281668908116428 0.00906562659273495 0.000365989343991165 0.0579316161424175 0.000236192704816527 0.0373864030079539 0.000129796639174638 0.0205452131344636 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80123 0.0000265528274080403 0.0101063074948527 0.0000265528274080403 0.0101063074948527 0.000439790168862666 0.0783209370296667 0.000285073179580986 0.0507678436845217 0.00015471698928168 0.027553093345145 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80124 0.0000134488996631684 0.00318897772387675 0.0000134488996631684 0.00318897772387675 0.000316770290990581 0.028562072443664 0.000199834875061079 0.0180184137862689 0.000116935415929502 0.0105436586573951 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80125 0.0000137510349959648 0.00248566836707225 0.0000137510349959648 0.00248566836707225 0.000283056186359974 0.0193536756632002 0.000176983371181598 0.0121010560047339 0.000106072815178375 0.00725261965846634 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80126 0.0000131779252064302 0.00463874198316636 0.0000131779252064302 0.00463874198316636 0.000368388347353484 0.0447709316729095 0.000232793240648853 0.0282918022404337 0.000135595106704631 0.0164791294324757 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80127 0.0000178841882678564 0.00672859161299886 0.0000178841882678564 0.00672859161299886 0.000330564519017554 0.0479432526790017 0.000213864042642562 0.0310176599286528 0.000116700476374991 0.0169255927503489 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80128 0.000024395976592398 0.00822437544974539 0.000024395976592398 0.00822437544974539 0.000379346680716544 0.0550510328861692 0.000239108092989372 0.0346995193569201 0.000140238587727172 0.0203515135292491 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80129 0.0000156688559909307 0.00450135444691541 0.0000156688559909307 0.00450135444691541 0.00040656238430211 0.0442387702403706 0.00026795631247686 0.0291567990542681 0.00013860607182525 0.0150819711861024 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80130 0.0000121473772335169 0.00350909955136262 0.0000121473772335169 0.00350909955136262 0.000278467551404123 0.0311273913768352 0.00017826308605634 0.0199264324325725 0.000100204465347783 0.0112009589442628 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80131 0.0000228310502283105 0.000612621363698572 0.0000228310502283105 0.000612621363698572 0.00000842992623814542 0.000151972656500063 0 0 0.00000842992623814542 0.000151972656500063 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80132 0.0000169374991312047 0.00428672677630344 0.0000169374991312047 0.00428672677630344 0.00021809732241766 0.0245541168224376 0.000149577152738375 0.0168398898326331 0.0000685201696792845 0.00771422698980448 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80133 0.0000189943326692199 0.00154719304193031 0.0000189943326692199 0.00154719304193031 0.000138428262436914 0.00426664559686389 0.0000865176640230714 0.00266665349803993 0.0000519105984138428 0.00159999209882396 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80134 0.0000136126384992674 0.00559378414834861 0.0000136126384992674 0.00559378414834861 0.000396172495805601 0.0539944016310023 0.000250152104574199 0.034093263278548 0.000146020391231402 0.0199011383524543 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80135 0.0000235027897422948 0.00279129643312613 0.0000235027897422948 0.00279129643312613 0.000309672063096721 0.0177893056634179 0.000184308841843088 0.0105877368827849 0.000125363221253632 0.00720156878063298 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80136 0.0000269862120115451 0.00334128103304144 0.0000269862120115451 0.00334128103304144 0.000506613131790269 0.0244017197652428 0.000329475673122343 0.0158696499172558 0.000177137458667926 0.00853206984798698 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80137 0.0000253751759411613 0.00149153376067225 0.0000253751759411613 0.00149153376067225 0.000271176963936259 0.00848918175410879 0.000181716522225328 0.0056886269486296 0.000089460441710931 0.00280055480547919 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80138 0.00001438642746604 0.00444817542645591 0.00001438642746604 0.00444817542645591 0.000313441600323453 0.0373903117378506 0.000201388153524774 0.0240235049617885 0.000112053446798679 0.0133668067760621 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80202 0.0000207623389226152 0.00379360375434636 0.0000207623389226152 0.00379360375434636 0.000487664459759216 0.0310156129939107 0.000291921364105864 0.0185662905560771 0.000195743095653352 0.0124493224378336 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80203 0.000023805037222205 0.00570477175269589 0.000023805037222205 0.00570477175269589 0.000449648141190329 0.0369286795886079 0.000267270530174559 0.0219503804600759 0.00018237761101577 0.014978299128532 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80204 0.00003204437331016 0.00910364798245564 0.00003204437331016 0.00910364798245564 0.000535430645269978 0.0638712880485028 0.000320372741362547 0.0382171245281225 0.000215057903907431 0.0256541635203803 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
